,FIPS,STATE,AREA_NAME,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guidelines,foreign travel ban,stay at home rollback,>50 gatherings rollback,>500 gatherings rollback,restaurant dine-in rollback,entertainment/gym rollback
113,19113,IA,linn county,740000,737517,737517,737517,737501,737501,737500,737495,NA,NA,NA,737556,737556
114,19153,IA,polk county,740000,737517,737517,737517,737501,737501,737500,737495,NA,NA,NA,737556,737556
115,20091,KS,johnson county,737508,737501,737501,737502,737508,737508,737500,737495,737560,737560,737560,737546,737546
116,20209,KS,wyandotte county,737508,737501,737501,737502,737508,737508,737500,737495,737560,737560,737560,737546,737546
117,21000_0,KY,"Kentucky Super-county, Cluster 1",737510,737510,737510,737500,737500,737502,737500,737495,737576,NA,NA,737546,737546
118,21000_1,KY,"Kentucky Super-county, Cluster 2",737510,737510,737510,737500,737500,737502,737500,737495,737576,NA,NA,737546,737546
119,21111,KY,jefferson county,737510,737510,737510,737500,737500,737502,737500,737495,737576,NA,NA,737546,737546
120,22000_0,LA,"Louisiana Super-county, Cluster 1",737507,737501,737501,737500,737501,737501,737500,737495,737560,737586,737586,737560,737560
121,22005,LA,ascension parish,737507,737501,737501,737500,737501,737501,737500,737495,737560,737586,737586,737560,737560
122,22000_4,LA,"Louisiana Super-county, Cluster 5",737507,737501,737501,737500,737501,737501,737500,737495,737560,737586,737586,737560,737560
123,22017,LA,caddo parish,737507,737501,737501,737500,737501,737501,737500,737495,737560,737586,737586,737560,737560
124,22019,LA,calcasieu parish,737507,737501,737501,737500,737501,737501,737500,737495,737560,737586,737586,737560,737560
125,22033,LA,east baton rouge parish,737507,737501,737501,737500,737501,737501,737500,737495,737560,737586,737586,737560,737560
126,22051,LA,jefferson parish,737507,737501,737501,737500,737501,737501,737500,737495,737560,737586,737586,737560,737560
127,22057,LA,lafourche parish,737507,737501,737501,737500,737501,737501,737500,737495,737560,737586,737586,737560,737560
128,22071,LA,orleans parish,737507,737501,737501,737500,737501,737501,737500,737495,737560,737586,737586,737560,737560
129,22073,LA,ouachita parish,737507,737501,737501,737500,737501,737501,737500,737495,737560,737586,737586,737560,737560
130,22079,LA,rapides parish,737507,737501,737501,737500,737501,737501,737500,737495,737560,737586,737586,737560,737560
131,22089,LA,st. charles parish,737507,737501,737501,737500,737501,737501,737500,737495,737560,737586,737586,737560,737560
132,22095,LA,st. john the baptist parish,737507,737501,737501,737500,737501,737501,737500,737495,737560,737586,737586,737560,737560
133,22097,LA,st. landry parish,737507,737501,737501,737500,737501,737501,737500,737495,737560,737586,737586,737560,737560
134,22103,LA,st. tammany parish,737507,737501,737501,737500,737501,737501,737500,737495,737560,737586,737586,737560,737560
135,22109,LA,terrebonne parish,737507,737501,737501,737500,737501,737501,737500,737495,737560,737586,737586,737560,737560
136,23005,ME,cumberland county,737517,737502,737502,737499,737502,737508,737500,737495,NA,NA,NA,737563,737563
137,24000_4,MD,"Maryland Super-county, Cluster 5",737514,737500,737497,737500,737500,737500,737500,737495,737577,NA,NA,737552,737552
138,24003,MD,anne arundel county,737514,737500,737497,737500,737500,737500,737500,737495,737577,NA,NA,737552,737552
139,24005,MD,baltimore county,737514,737500,737497,737500,737500,737500,737500,737495,737577,NA,NA,737552,737552
140,24000_1,MD,"Maryland Super-county, Cluster 2",737514,737500,737497,737500,737500,737500,737500,737495,737577,NA,NA,737552,737552
141,24013,MD,carroll county,737514,737500,737497,737500,737500,737500,737500,737495,737577,NA,NA,737552,737552
142,24017,MD,charles county,737514,737500,737497,737500,737500,737500,737500,737495,737577,NA,NA,737552,737552
143,24021,MD,frederick county,737514,737500,737497,737500,737500,737500,737500,737495,737577,NA,NA,737552,737552
144,24025,MD,harford county,737514,737500,737497,737500,737500,737500,737500,737495,737577,NA,NA,737552,737552
145,24027,MD,howard county,737514,737500,737497,737500,737500,737500,737500,737495,737577,NA,NA,737552,737552
146,24031,MD,montgomery county,737514,737500,737497,737500,737500,737500,737500,737495,737577,NA,NA,737552,737552
147,24033,MD,prince george's county,737514,737500,737497,737500,737500,737500,737500,737495,737577,NA,NA,737552,737552
148,24037,MD,st. mary's county,737514,737500,737497,737500,737500,737500,737500,737495,737577,NA,NA,737552,737552
149,25001,MA,barnstable county,737508,737501,737501,737501,737501,737501,737500,737495,737563,NA,NA,NA,NA
150,25005,MA,bristol county,737508,737501,737501,737501,737501,737501,737500,737495,737563,NA,NA,NA,NA
151,25009,MA,essex county,737508,737501,737501,737501,737501,737501,737500,737495,737563,NA,NA,NA,NA
152,25011,MA,franklin county,737508,737501,737501,737501,737501,737501,737500,737495,737563,NA,NA,NA,NA
153,25013,MA,hampden county,737508,737501,737501,737501,737501,737501,737500,737495,737563,NA,NA,NA,NA
154,25015,MA,hampshire county,737508,737501,737501,737501,737501,737501,737500,737495,737563,NA,NA,NA,NA
155,25017,MA,middlesex county,737508,737501,737501,737501,737501,737501,737500,737495,737563,NA,NA,NA,NA
156,25021,MA,norfolk county,737508,737501,737501,737501,737501,737501,737500,737495,737563,NA,NA,NA,NA
157,25023,MA,plymouth county,737508,737501,737501,737501,737501,737501,737500,737495,737563,NA,NA,NA,NA
158,25025,MA,suffolk county,737508,737501,737501,737501,737501,737501,737500,737495,737563,NA,NA,NA,NA
159,25027,MA,worcester county,737508,737501,737501,737501,737501,737501,737500,737495,737563,NA,NA,NA,NA
160,26000_0,MI,"Michigan Super-county, Cluster 1",737508,737508,737508,737500,737500,737500,737500,737495,737542,NA,NA,737542,737542
161,26000_4,MI,"Michigan Super-county, Cluster 5",737508,737508,737508,737500,737500,737500,737500,737495,737542,NA,NA,737542,737542
162,26021,MI,berrien county,737508,737508,737508,737500,737500,737500,737500,737495,737542,NA,NA,737542,737542
163,26049,MI,genesee county,737508,737508,737508,737500,737500,737500,737500,737495,737542,NA,NA,737542,737542
164,26077,MI,kalamazoo county,737508,737508,737508,737500,737500,737500,737500,737495,737542,NA,NA,737542,737542
165,26081,MI,kent county,737508,737508,737508,737500,737500,737500,737500,737495,737542,NA,NA,737542,737542
166,26099,MI,macomb county,737508,737508,737508,737500,737500,737500,737500,737495,737542,NA,NA,737542,737542
167,26121,MI,muskegon county,737508,737508,737508,737500,737500,737500,737500,737495,737542,NA,NA,737542,737542
168,26125,MI,oakland county,737508,737508,737508,737500,737500,737500,737500,737495,737542,NA,NA,737542,737542
169,26139,MI,ottawa county,737508,737508,737508,737500,737500,737500,737500,737495,737542,NA,NA,737542,737542
170,26145,MI,saginaw county,737508,737508,737508,737500,737500,737500,737500,737495,737542,NA,NA,737542,737542
171,26147,MI,st. clair county,737508,737508,737508,737500,737500,737500,737500,737495,737542,NA,NA,737542,737542
172,26161,MI,washtenaw county,737508,737508,737508,737500,737500,737500,737500,737495,737542,NA,NA,737542,737542
173,26163,MI,wayne county,737508,737508,737508,737500,737500,737500,737500,737495,737542,NA,NA,737542,737542
174,27003,MN,anoka county,737511,737511,737511,737502,737501,737501,737500,737495,737560,737549,737549,NA,NA
175,27000_4,MN,"Minnesota Super-county, Cluster 5",737511,737511,737511,737502,737501,737501,737500,737495,737560,737549,737549,NA,NA
176,27000_0,MN,"Minnesota Super-county, Cluster 1",737511,737511,737511,737502,737501,737501,737500,737495,737560,737549,737549,NA,NA
177,27037,MN,dakota county,737511,737511,737511,737502,737501,737501,737500,737495,737560,737549,737549,NA,NA
178,27053,MN,hennepin county,737511,737511,737511,737502,737501,737501,737500,737495,737560,737549,737549,NA,NA
179,27123,MN,ramsey county,737511,737511,737511,737502,737501,737501,737500,737495,737560,737549,737549,NA,NA
180,28000_0,MS,"Mississippi Super-county, Cluster 1",737521,737509,737509,737504,737509,737509,737500,737495,737541,737577,737577,737546,737546
181,28000_4,MS,"Mississippi Super-county, Cluster 5",737521,737509,737509,737504,737509,737509,737500,737495,737541,737577,737577,737546,737546
