FIPS,State,Area_Name,Rural-urban_Continuum Code_2013,Urban_Influence_Code_2013,Economic_typology_2015,POP_ESTIMATE_2018,N_POP_CHG_2018,Births_2018,Deaths_2018,NATURAL_INC_2018,INTERNATIONAL_MIG_2018,DOMESTIC_MIG_2018,NET_MIG_2018,RESIDUAL_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,POVALL_2018,CI90LBAll_2018,CI90UBALL_2018,PCTPOVALL_2018,CI90LBALLP_2018,CI90UBALLP_2018,POV017_2018,CI90LB017_2018,CI90UB017_2018,PCTPOV017_2018,CI90LB017P_2018,CI90UB017P_2018,POV517_2018,CI90LB517_2018,CI90UB517_2018,PCTPOV517_2018,CI90LB517P_2018,CI90UB517P_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
01059,AL,Franklin County,6,6,3,31363,-227,426,364,62,48,-338,-290,1,272,13.5,11.6,2.0,1.5,-10.7,-9.2,4835,7666,5632,2679,23.2,36.8,27.1,12.9,5939,4833,7045,19.2,15.6,22.8,2270,1782,2758,30.1,23.6,36.6,1589,1203,1975,28.8,21.8,35.8,39388,35417,43359,14203,13673,530,3.7,$39388 ,79.0,14022,646.52,12.7,633.82,50,22.1
01061,AL,Geneva County,3,2,0,26314,-96,272,357,-85,-6,-4,-10,-1,229,10.3,13.5,-3.2,-0.2,-0.2,-0.4,3891,6924,5720,2063,20.9,37.2,30.8,11.1,5537,4537,6537,21.3,17.5,25.1,1676,1242,2110,29.5,21.8,37.2,1149,814,1484,26.8,19.0,34.6,37823,33925,41721,10851,10425,426,3.9,$37823 ,75.8,12687,578.95,4.54,574.41,46.6,22.1
01063,AL,Greene County,8,6,0,8233,-85,99,98,1,1,-86,-85,-1,45,12.0,11.8,0.1,0.1,-10.4,-10.3,1406,2149,1689,589,24.1,36.8,29.0,10.1,2459,1877,3041,30.1,23.0,37.2,796,561,1031,44.0,31.0,57.0,571,387,755,42.5,28.8,56.2,28524,25352,31696,2838,2647,191,6.7,$28524 ,57.2,5007,659.94,12.83,647.11,14,7.7
01065,AL,Hale County,3,2,0,14726,-83,186,207,-21,0,-61,-61,-1,221,12.6,14.0,-1.4,0.0,-4.1,-4.1,1647,4292,2711,1421,16.4,42.6,26.9,14.1,3705,2931,4479,25.6,20.3,30.9,1194,880,1508,35.6,26.2,45.0,814,564,1064,34.0,23.5,44.5,34724,30954,38494,5991,5686,305,5.1,$34724 ,69.6,7655,656.5,12.56,643.94,24.5,11.9
01067,AL,Henry County,3,2,0,17209,69,182,218,-36,2,104,106,-1,199,10.6,12.7,-2.1,0.1,6.1,6.2,2412,4081,3487,2187,19.8,33.5,28.7,18.0,3037,2388,3686,17.9,14.1,21.7,945,706,1184,27.2,20.3,34.1,630,446,814,24.4,17.3,31.5,46027,41394,50660,6766,6466,300,4.4,$46027 ,92.3,8891,568.31,6.56,561.75,30.8,15.8
01069,AL,Houston County,3,2,0,104722,349,1272,1180,92,39,224,263,-6,1416,12.2,11.3,0.9,0.4,2.1,2.5,10261,22680,23681,15076,14.3,31.6,33.0,21.0,17032,14978,19086,16.5,14.5,18.5,5158,4126,6190,21.9,17.5,26.3,3759,2933,4585,21.7,16.9,26.5,47993,45283,50703,45150,43325,1825,4.0,$47993 ,96.2,45319,581.65,1.83,579.82,175.1,78.2
01071,AL,Jackson County,6,5,3,51736,-171,570,679,-109,10,-69,-59,-3,597,11.0,13.1,-2.1,0.2,-1.3,-1.1,6526,15181,10238,5280,17.5,40.8,27.5,14.2,10046,8671,11421,19.7,17.0,22.4,2834,2305,3363,26.8,21.8,31.8,1801,1358,2244,22.9,17.3,28.5,41929,37906,45952,23241,22286,955,4.1,$41929 ,84.1,24786,1126.77,48.9,1077.87,49.4,23
01073,AL,Jefferson County,1,1,0,659300,-246,8412,7306,1106,462,-1783,-1321,-31,16694,12.8,11.1,1.7,0.7,-2.7,-2.0,46025,120037,137208,145462,10.3,26.8,30.6,32.4,103604,95029,112179,16.1,14.8,17.4,33329,29089,37569,22.6,19.7,25.5,22431,19003,25859,21.1,17.9,24.3,55013,53290,56736,314014,302359,11655,3.7,$55013 ,110.3,300552,1123.81,12.54,1111.28,592.5,270.5
01075,AL,Lamar County,8,7,3,13844,-58,135,195,-60,-1,4,3,-1,217,9.7,14.1,-4.3,-0.1,0.3,0.2,1741,3950,2967,1235,17.6,39.9,30.0,12.5,2374,1826,2922,17.4,13.4,21.4,739,531,947,25.3,18.2,32.4,503,344,662,23.1,15.8,30.4,40936,36518,45354,5721,5503,218,3.8,$40936 ,82.1,7354,605.46,0.62,604.85,24.1,12.2
01077,AL,Lauderdale County,3,2,0,92387,-204,866,1116,-250,28,22,50,-4,2086,9.4,12.1,-2.7,0.3,0.2,0.5,7979,22812,17453,15185,12.6,36.0,27.5,23.9,12645,10581,14709,14.0,11.7,16.3,3196,2413,3979,17.9,13.5,22.3,2113,1523,2703,16.0,11.5,20.5,48707,44800,52614,42141,40375,1766,4.2,$48707 ,97.6,43791,720.99,53.29,667.7,138.8,65.6
