GEO.display-label; Total; Total_Male; Total_Female;Total_age0to17;Male_age0to17;Female_age0to17;Total_age18to64;Male_age18to64;Female_age18to64;Total_age65plus;Male_age65plus;Female_age65plus;Total_age85plusr;Male_age85plusr;Female_age85plusr
"Coffey County, Kansas";8233;4064;4169;1796;913;883;4671;2325;2346;1766;826;940;216;76;140
"Comanche County, Kansas";1748;849;899;415;204;211;886;440;446;447;205;242;60;25;35
"Cowley County, Kansas";35218;17716;17502;8319;4270;4049;20479;10539;9940;6420;2907;3513;947;331;616
"Crawford County, Kansas";39019;19574;19445;8490;4446;4044;24474;12516;11958;6055;2612;3443;927;272;655
"Decatur County, Kansas";2871;1443;1428;558;299;259;1505;776;729;808;368;440;191;57;134
"Dickinson County, Kansas";18717;9433;9284;4439;2321;2118;10580;5434;5146;3698;1678;2020;636;221;415
"Doniphan County, Kansas";7682;3863;3819;1626;797;829;4554;2351;2203;1502;715;787;222;74;148
"Douglas County, Kansas";121436;60520;60916;22089;11421;10668;84393;42340;42053;14954;6759;8195;1890;614;1276
"Edwards County, Kansas";2849;1449;1400;665;344;321;1578;803;775;606;302;304;69;28;41
"Elk County, Kansas";2508;1267;1241;543;287;256;1236;637;599;729;343;386;92;34;58
"Ellis County, Kansas";28710;14458;14252;6198;3207;2991;18096;9231;8865;4416;2020;2396;692;254;438
"Ellsworth County, Kansas";6196;3503;2693;1137;595;542;3762;2304;1458;1297;604;693;200;72;128
"Finney County, Kansas";36611;18844;17767;11038;5659;5379;21539;11291;10248;4034;1894;2140;556;202;354
"Ford County, Kansas";33888;17584;16304;10213;5267;4946;19883;10574;9309;3792;1743;2049;636;228;408
"Franklin County, Kansas";25631;12785;12846;6090;3123;2967;15279;7713;7566;4262;1949;2313;484;158;326
"Geary County, Kansas";32594;17216;15378;10029;5160;4869;19747;10842;8905;2818;1214;1604;356;117;239
"Gove County, Kansas";2612;1315;1297;626;317;309;1351;709;642;635;289;346;132;44;88
"Graham County, Kansas";2492;1236;1256;484;255;229;1324;669;655;684;312;372;114;50;64
"Grant County, Kansas";7336;3684;3652;2257;1156;1101;4076;2087;1989;1003;441;562;117;32;85
"Gray County, Kansas";6033;3037;2996;1749;902;847;3374;1706;1668;910;429;481;132;53;79
"Greeley County, Kansas";1227;588;639;319;152;167;654;323;331;254;113;141;59;20;39
"Greenwood County, Kansas";6055;3026;3029;1317;674;643;3229;1623;1606;1509;729;780;224;77;147
"Hamilton County, Kansas";2607;1351;1256;749;407;342;1493;758;735;365;186;179;32;11;21
"Harper County, Kansas";5506;2757;2749;1372;717;655;2867;1490;1377;1267;550;717;213;56;157
"Harvey County, Kansas";34210;16893;17317;8242;4212;4030;19286;9709;9577;6682;2972;3710;1213;425;788
"Haskell County, Kansas";3997;2008;1989;1125;593;532;2281;1133;1148;591;282;309;67;21;46
