County,total,female,male,f<18,m<18,f<18-64,m<18-64,f>65,m>65,f_white,m_white,f_af_amer,m_af_amer,f_amerindian_alaska,m_amerindian_alaska,f_asian,m_asian,f_pasific_island,m_pasific_island,f_two_more_races,m_two_more_races,f>15,f>15_single,f>15_married,f>15_separated,f>15_windowed,f>15_divorced,m>15,m>15_single,m>15_married,m>15_separated,m>15_windowed,m>15_divorced,over_25_high_school_or_higher,over_25_bachelor_or_higher,house_has_children_under_18,married-couple_family,householder_living_alone,grandparents_living_with_grandchildren_under_18_years
Columbia County,59916,29915,30001,4845,5513,17836,17467,7603,6652,27401,27164,1337,1790,92,104,617,537,10,23,671,662,26219,7259,12610,537,2700,3113,26027,9094,12752,738,719,2724,41214,14260,5329,11907,7525,524
Cortland County,47823,24453,23370,4497,4741,15065,15630,4326,3564,23288,22079,397,512,79,75,316,190,6,8,450,436,20807,7817,8971,357,1724,1938,19545,8253,8740,432,462,1658,27362,8106,4417,8461,4752,283
Delaware County,44527,22031,22496,3619,3733,13476,12797,5615,5287,21347,21529,343,584,81,74,261,187,9,9,284,312,19494,4797,9583,582,2196,2336,19778,6814,9715,424,790,2035,29013,7218,3989,8974,6047,257
Dutchess County,293718,147441,146277,26858,28291,94837,92099,28484,23149,121133,118150,16081,18050,652,714,5765,5279,115,119,3734,3658,125416,38524,59904,2688,11056,13244,122939,45526,61576,2813,3159,9865,185139,71955,28519,56282,29068,1685
Erie County,919719,474777,444942,91395,94697,279526,289049,94333,70719,375540,356787,68745,59383,3593,3236,16781,16019,231,206,9321,8952,399184,135730,167651,8571,41822,45410,366593,144728,172510,5910,11152,32293,588287,216636,93666,161448,131771,5306
Essex County,37300,18045,19255,2905,3157,11928,10567,4573,4170,17515,17874,108,983,62,142,160,131,9,12,245,270,15718,3512,8034,213,1920,2039,17035,6100,8258,386,686,1605,26185,7920,3586,7576,4663,294
Franklin County,50293,22610,27683,4725,5025,18640,13451,4434,4018,20161,22279,111,3104,1961,1866,110,119,7,6,356,364,19039,5180,8880,690,1842,2447,23475,9875,10353,586,574,2087,30986,6934,4994,8751,5495,200
Fulton County,53591,26921,26670,5269,5501,16464,15858,5794,4705,25929,25323,393,802,66,89,202,158,10,9,382,414,22611,5826,10536,857,2686,2706,22200,7492,10677,676,802,2553,33728,6853,5593,9964,6527,688
Genesee County,57511,28900,28611,5784,5915,17868,17194,5922,4828,27216,26604,721,1065,349,326,197,189,4,3,569,573,24193,5975,12566,581,2307,2764,24158,8011,12557,504,664,2422,37988,8891,5893,11914,7125,376
Greene County,47491,22637,24854,3724,4091,15770,13398,5515,4993,21161,21570,648,2327,87,107,277,303,10,12,468,504,19566,5915,9144,386,2240,1881,21566,8876,9516,449,763,1962,30904,7823,3279,8146,6056,375
Hamilton County,4434,2212,2222,286,287,1247,1228,698,688,2147,2179,16,28,6,8,21,12,2,2,31,29,1980,471,681,43,401,384,2090,896,722,84,275,113,2919,681,157,632,335,31
Herkimer County,61833,31242,30591,6246,6509,18182,18081,6915,5900,30353,29554,381,496,108,102,206,136,8,10,428,427,26407,6832,12545,783,3081,3166,25421,8699,12534,438,719,3031,39437,9188,5782,11925,7343,466
Jefferson County,111755,52991,58764,13106,13692,38155,31526,8359,6917,47671,51281,2893,4960,329,418,899,963,179,175,1571,1724,42856,10243,23134,1278,3514,4687,47865,17487,24329,1065,998,3986,65912,16115,13597,22151,11789,700
Kings County (Brooklyn),2582830,1359066,1223764,287887,301088,775942,858667,212512,146734,653116,632569,494721,394925,11986,12171,168716,157942,1477,1587,35642,31533,1119579,470784,420376,40854,91611,95954,970815,443284,432832,22105,21401,51193,1450812,648461,254098,359883,278952,20244
